# Time	Amplitude (cm/s/s)
   0.000000	  -0.173602
   0.009766	  -0.092547
   0.019531	  -0.031165
   0.029297	  -0.029069
   0.039062	  -0.095090
   0.048828	  -0.203900
   0.058594	  -0.305165
   0.068359	  -0.342045
   0.078125	  -0.272490
   0.087891	  -0.085704
   0.097656	   0.192249
   0.107422	   0.505940
   0.117188	   0.788761
   0.126953	   0.985509
   0.136719	   1.071362
   0.146484	   1.060309
   0.156250	   0.999700
   0.166016	   0.952352
   0.175781	   0.972137
   0.185547	   1.081397
   0.195312	   1.258136
   0.205078	   1.437836
   0.214844	   1.529818
   0.224609	   1.443203
   0.234375	   1.114200
   0.244141	   0.525940
   0.253906	  -0.285570
   0.263672	  -1.241204
   0.273438	  -2.240946
   0.283203	  -3.191315
   0.292969	  -4.029216
   0.302734	  -4.734801
   0.312500	  -5.329754
   0.322266	  -5.862285
   0.332031	  -6.384401
   0.341797	  -6.929357
   0.351562	  -7.496732
   0.361328	  -8.049784
   0.371094	  -8.525413
   0.380859	  -8.852907
   0.390625	  -8.974988
   0.400391	  -8.864233
   0.410156	  -8.529937
   0.419922	  -8.013894
   0.429688	  -7.377275
   0.439453	  -6.683441
   0.449219	  -5.982400
   0.458984	  -5.301401
   0.468750	  -4.643671
   0.478516	  -3.994355
   0.488281	  -3.330520
   0.498047	  -2.631279
   0.507812	  -1.884862
   0.517578	  -1.091263
   0.527344	  -0.261124
   0.537109	   0.587076
   0.546875	   1.429295
   0.556641	   2.236380
   0.566406	   2.973023
   0.576172	   3.597029
   0.585938	   4.061211
   0.595703	   4.319518
   0.605469	   4.337193
   0.615234	   4.102614
   0.625000	   3.636877
   0.634766	   2.996968
   0.644531	   2.269812
   0.654297	   1.557253
   0.664062	   0.955185
   0.673828	   0.532479
   0.683594	   0.316030
   0.693359	   0.286782
   0.703125	   0.388364
   0.712891	   0.545911
   0.722656	   0.689266
   0.732422	   0.773174
   0.742188	   0.787974
   0.751953	   0.757436
   0.761719	   0.724779
   0.771484	   0.731979
   0.781250	   0.799890
   0.791016	   0.916452
   0.800781	   1.037498
   0.810547	   1.100207
   0.820312	   1.044700
   0.830078	   0.836230
   0.839844	   0.479958
   0.849609	   0.022704
   0.859375	  -0.459493
   0.869141	  -0.884224
   0.878906	  -1.188431
   0.888672	  -1.348215
   0.898438	  -1.385806
   0.908203	  -1.360975
   0.917969	  -1.349468
   0.927734	  -1.415507
   0.937500	  -1.587557
   0.947266	  -1.845607
   0.957031	  -2.124463
   0.966797	  -2.332292
   0.976562	  -2.378603
   0.986328	  -2.202742
   0.996094	  -1.793841
   1.005859	  -1.195974
   1.015625	  -0.497095
   1.025391	   0.194488
   1.035156	   0.778568
   1.044922	   1.187617
   1.054688	   1.400361
   1.064453	   1.441085
   1.074219	   1.366119
   1.083984	   1.242871
   1.093750	   1.128701
   1.103516	   1.056265
   1.113281	   1.029188
   1.123047	   1.028093
   1.132812	   1.023524
   1.142578	   0.990344
   1.152344	   0.918323
   1.162109	   0.815594
   1.171875	   0.704612
   1.181641	   0.613067
   1.191406	   0.563731
   1.201172	   0.567198
   1.210938	   0.619866
   1.220703	   0.707200
   1.230469	   0.810253
   1.240234	   0.912379
   1.250000	   1.003432
   1.259766	   1.080256
   1.269531	   1.144166
   1.279297	   1.197537
   1.289062	   1.241927
   1.298828	   1.279178
   1.308594	   1.315131
   1.318359	   1.363759
   1.328125	   1.448612
   1.337891	   1.598996
   1.347656	   1.840317
   1.357422	   2.180692
   1.367188	   2.598388
   1.376953	   3.035574
   1.386719	   3.402767
   1.396484	   3.595303
   1.406250	   3.518981
   1.416016	   3.118273
   1.425781	   2.398454
   1.435547	   1.433781
   1.445312	   0.357383
   1.455078	  -0.666124
   1.464844	  -1.478726
   1.474609	  -1.967413
   1.484375	  -2.091768
   1.494141	  -1.892380
   1.503906	  -1.477313
   1.513672	  -0.990484
   1.523438	  -0.571364
   1.533203	  -0.318119
   1.542969	  -0.265094
   1.552734	  -0.380945
   1.562500	  -0.587028
   1.572266	  -0.789221
   1.582031	  -0.912193
   1.591797	  -0.924670
   1.601562	  -0.847543
   1.611328	  -0.742693
   1.621094	  -0.686946
   1.630859	  -0.740630
   1.640625	  -0.921890
   1.650391	  -1.195816
   1.660156	  -1.482329
   1.669922	  -1.680268
   1.679688	  -1.699669
   1.689453	  -1.491422
   1.699219	  -1.064473
   1.708984	  -0.484878
   1.718750	   0.142867
   1.728516	   0.706053
   1.738281	   1.115702
   1.748047	   1.330081
   1.757812	   1.362680
   1.767578	   1.272779
   1.777344	   1.142396
   1.787109	   1.047638
   1.796875	   1.033813
   1.806641	   1.102022
   1.816406	   1.210809
   1.826172	   1.291460
   1.835938	   1.271325
   1.845703	   1.097453
   1.855469	   0.753340
   1.865234	   0.264375
   1.875000	  -0.308560
   1.884766	  -0.884259
   1.894531	  -1.379899
   1.904297	  -1.727818
   1.914062	  -1.886459
   1.923828	  -1.844066
   1.933594	  -1.616140
   1.943359	  -1.239106
   1.953125	  -0.762800
   1.962891	  -0.243489
   1.972656	   0.262238
   1.982422	   0.703321
   1.992188	   1.040545
   2.001953	   1.253232
   2.011719	   1.344905
   2.021484	   1.345563
   2.031250	   1.308157
   2.041016	   1.298171
   2.050781	   1.377479
   2.060547	   1.586187
   2.070312	   1.927834
   2.080078	   2.363314
   2.089844	   2.816855
   2.099609	   3.193816
   2.109375	   3.406067
   2.119141	   3.397652
   2.128906	   3.162620
   2.138672	   2.748765
   2.148438	   2.245164
   2.158203	   1.756641
   2.167969	   1.372747
   2.177734	   1.141055
   2.187500	   1.053548
   2.197266	   1.050902
   2.207031	   1.043617
   2.216797	   0.943367
   2.226562	   0.694306
   2.236328	   0.293874
   2.246094	  -0.204020
   2.255859	  -0.704806
   2.265625	  -1.103026
   2.275391	  -1.316313
   2.285156	  -1.312286
   2.294922	  -1.119394
   2.304688	  -0.818043
   2.314453	  -0.514971
   2.324219	  -0.309433
   2.333984	  -0.262434
   2.343750	  -0.379160
   2.353516	  -0.610176
   2.363281	  -0.870568
   2.373047	  -1.070162
   2.382812	  -1.144351
   2.392578	  -1.075045
   2.402344	  -0.894934
   2.412109	  -0.674080
   2.421875	  -0.493996
   2.431641	  -0.418543
   2.441406	  -0.471842
   2.451172	  -0.630679
   2.460938	  -0.833676
   2.470703	  -1.003546
   2.480469	  -1.074354
   2.490234	  -1.014134
   2.500000	  -0.835170
   2.509766	  -0.588791
   2.519531	  -0.347058
   2.529297	  -0.178219
   2.539062	  -0.124712
   2.548828	  -0.191223
   2.558594	  -0.346368
   2.568359	  -0.536552
   2.578125	  -0.706236
   2.587891	  -0.816833
   2.597656	  -0.857368
   2.607422	  -0.843492
   2.617188	  -0.806018
   2.626953	  -0.774152
   2.636719	  -0.760470
   2.646484	  -0.753842
   2.656250	  -0.723186
   2.666016	  -0.630621
   2.675781	  -0.448727
   2.685547	  -0.174947
   2.695312	   0.162884
   2.705078	   0.512519
   2.714844	   0.813017
   2.724609	   1.014559
   2.734375	   1.095011
   2.744141	   1.066933
   2.753906	   0.972195
   2.763672	   0.866004
   2.773438	   0.796163
   2.783203	   0.785310
   2.792969	   0.822839
   2.802734	   0.869706
   2.812500	   0.874433
   2.822266	   0.794378
   2.832031	   0.614180
   2.841797	   0.354181
   2.851562	   0.065267
   2.861328	  -0.188377
   2.871094	  -0.352452
   2.880859	  -0.403102
   2.890625	  -0.356949
   2.900391	  -0.266439
   2.910156	  -0.201630
   2.919922	  -0.224675
   2.929688	  -0.366134
   2.939453	  -0.611864
   2.949219	  -0.905650
   2.958984	  -1.167111
   2.968750	  -1.318883
   2.978516	  -1.313607
   2.988281	  -1.151104
   2.998047	  -0.879527
   3.007812	  -0.579928
   3.017578	  -0.339623
   3.027344	  -0.223770
   3.037109	  -0.255265
   3.046875	  -0.409993
   3.056641	  -0.628933
   3.066406	  -0.842380
   3.076172	  -0.997101
   3.085938	  -1.076135
   3.095703	  -1.103652
   3.105469	  -1.132867
   3.115234	  -1.221454
   3.125000	  -1.403783
   3.134766	  -1.670827
   3.144531	  -1.966074
   3.154297	  -2.200063
   3.164062	  -2.279279
   3.173828	  -2.139579
   3.183594	  -1.772169
   3.193359	  -1.232291
   3.203125	  -0.626534
   3.212891	  -0.082144
   3.222656	   0.291877
   3.232422	   0.438876
   3.242188	   0.372238
   3.251953	   0.170419
   3.261719	  -0.049213
   3.271484	  -0.169028
   3.281250	  -0.109291
   3.291016	   0.146940
   3.300781	   0.550315
   3.310547	   1.003800
   3.320312	   1.396482
   3.330078	   1.640557
   3.339844	   1.698665
   3.349609	   1.592407
   3.359375	   1.389777
   3.369141	   1.176797
   3.378906	   1.024172
   3.388672	   0.961324
   3.398438	   0.967236
   3.408203	   0.981145
   3.417969	   0.928772
   3.427734	   0.754008
   3.437500	   0.443975
   3.447266	   0.037881
   3.457031	  -0.383935
   3.466797	  -0.726985
   3.476562	  -0.915877
   3.486328	  -0.921633
   3.496094	  -0.772931
   3.505859	  -0.546900
   3.515625	  -0.342537
   3.525391	  -0.246156
   3.535156	  -0.301232
   3.544922	  -0.493508
   3.554688	  -0.756716
   3.564453	  -0.996870
   3.574219	  -1.126354
   3.583984	  -1.095512
   3.593750	  -0.910388
   3.603516	  -0.630302
   3.613281	  -0.346286
   3.623047	  -0.148339
   3.632812	  -0.093463
   3.642578	  -0.186083
   3.652344	  -0.377840
   3.662109	  -0.586591
   3.671875	  -0.727425
   3.681641	  -0.744099
   3.691406	  -0.629232
   3.701172	  -0.425834
   3.710938	  -0.209719
   3.720703	  -0.059472
   3.730469	  -0.025353
   3.740234	  -0.108881
   3.750000	  -0.260923
   3.759766	  -0.399197
   3.769531	  -0.438788
   3.779297	  -0.324356
   3.789062	  -0.051960
   3.798828	   0.327814
   3.808594	   0.726794
   3.818359	   1.050109
   3.828125	   1.229584
   3.837891	   1.247175
   3.847656	   1.139565
   3.857422	   0.982083
   3.867188	   0.857917
   3.876953	   0.824305
   3.886719	   0.888753
   3.896484	   1.004813
   3.906250	   1.089673
   3.916016	   1.057515
   3.925781	   0.856286
   3.935547	   0.493716
   3.945312	   0.041862
   3.955078	  -0.382882
   3.964844	  -0.658316
   3.974609	  -0.700238
   3.984375	  -0.495644
   3.994141	  -0.112537
   4.003906	   0.318492
   4.013672	   0.645815
   4.023438	   0.747766
   4.033203	   0.575537
   4.042969	   0.172656
   4.052734	  -0.336526
   4.062500	  -0.786229
   4.072266	  -1.023563
   4.082031	  -0.959367
   4.091797	  -0.598001
   4.101562	  -0.035645
   4.111328	   0.572534
   4.121094	   1.065125
   4.130859	   1.328881
   4.140625	   1.335893
   4.150391	   1.150597
   4.160156	   0.904246
   4.169922	   0.745904
   4.179688	   0.787332
   4.189453	   1.061283
   4.199219	   1.508014
   4.208984	   1.994857
   4.218750	   2.361985
   4.228516	   2.478232
   4.238281	   2.287280
   4.248047	   1.827951
   4.257812	   1.221523
   4.267578	   0.630711
   4.277344	   0.204911
   4.287109	   0.031095
   4.296875	   0.107565
   4.306641	   0.349447
   4.316406	   0.623394
   4.326172	   0.798489
   4.335938	   0.794647
   4.345703	   0.610934
   4.355469	   0.323663
   4.365234	   0.055315
   4.375000	  -0.073965
   4.384766	   0.005893
   4.394531	   0.285844
   4.404297	   0.678463
   4.414062	   1.048547
   4.423828	   1.262571
   4.433594	   1.238858
   4.443359	   0.979782
   4.453125	   0.573678
   4.462891	   0.165140
   4.472656	  -0.096014
   4.482422	  -0.108771
   4.492188	   0.141789
   4.501953	   0.577883
   4.511719	   1.056024
   4.521484	   1.418268
   4.531250	   1.549305
   4.541016	   1.418516
   4.550781	   1.091261
   4.560547	   0.704693
   4.570312	   0.416378
   4.580078	   0.344222
   4.589844	   0.519909
   4.599609	   0.873645
   4.609375	   1.256994
   4.619141	   1.496690
   4.628906	   1.460679
   4.638672	   1.112389
   4.648438	   0.532594
   4.658203	  -0.100796
   4.667969	  -0.569813
   4.677734	  -0.691617
   4.687500	  -0.385736
   4.697266	   0.291017
   4.707031	   1.155827
   4.716797	   1.955490
   4.726562	   2.448825
   4.736328	   2.488306
   4.746094	   2.072591
   4.755859	   1.350797
   4.765625	   0.575482
   4.775391	   0.018932
   4.785156	  -0.119443
   4.794922	   0.217079
   4.804688	   0.920289
   4.814453	   1.751471
   4.824219	   2.422268
   4.833984	   2.695368
   4.843750	   2.470659
   4.853516	   1.826246
   4.863281	   0.998235
   4.873047	   0.303690
   4.882812	   0.031105
   4.892578	   0.335204
   4.902344	   1.173520
   4.912109	   2.310178
   4.921875	   3.391185
   4.931641	   4.071638
   4.941406	   4.156464
   4.951172	   3.708692
   4.960938	   3.085912
   4.970703	   2.885011
   4.980469	   3.802138
   4.990234	   6.441246
   5.000000	  11.122507
   5.009766	  17.745799
   5.019531	  25.752550
   5.029297	  34.204320
   5.039062	  41.965336
   5.048828	  47.947130
   5.058594	  51.354691
   5.068359	  51.870498
   5.078125	  49.726649
   5.087891	  45.642834
   5.097656	  40.642141
   5.107422	  35.788779
   5.117188	  31.913398
   5.126953	  29.396877
   5.136719	  28.070483
   5.146484	  27.261916
   5.156250	  25.979810
   5.166016	  23.192801
   5.175781	  18.132770
   5.185547	  10.542400
   5.195312	   0.798139
   5.205078	 -10.130933
   5.214844	 -20.886464
   5.224609	 -30.041391
   5.234375	 -36.458838
   5.244141	 -39.595548
   5.253906	 -39.665057
   5.263672	 -37.608140
   5.273438	 -34.866471
   5.283203	 -33.008129
   5.292969	 -33.296627
   5.302734	 -36.316077
   5.312500	 -41.756969
   5.322266	 -48.429952
   5.332031	 -54.517451
   5.341797	 -58.009412
   5.351562	 -57.217173
   5.361328	 -51.233415
   5.371094	 -40.214897
   5.380859	 -25.407488
   5.390625	  -8.899313
   5.400391	   6.839799
   5.410156	  19.516139
   5.419922	  27.523234
   5.429688	  30.274054
   5.439453	  28.270612
   5.449219	  22.899257
   5.458984	  16.015254
   5.468750	   9.437173
   5.478516	   4.493703
   5.488281	   1.746383
   5.498047	   0.957000
   5.507812	   1.294575
   5.517578	   1.705867
   5.527344	   1.326613
   5.537109	  -0.197884
   5.546875	  -2.582401
   5.556641	  -4.999146
   5.566406	  -6.367320
   5.576172	  -5.738340
   5.585938	  -2.650003
   5.595703	   2.667084
   5.605469	   9.300496
   5.615234	  15.885129
   5.625000	  20.981889
   5.634766	  23.489668
   5.644531	  22.963137
   5.654297	  19.737716
   5.664062	  14.822717
   5.673828	   9.595313
   5.683594	   5.389169
   5.693359	   3.103288
   5.703125	   2.949174
   5.712891	   4.410740
   5.722656	   6.425348
   5.732422	   7.727139
   5.742188	   7.245968
   5.751953	   4.441432
   5.761719	  -0.525124
   5.771484	  -6.825519
   5.781250	 -13.187523
   5.791016	 -18.231425
   5.800781	 -20.816708
   5.810547	 -20.299354
   5.820312	 -16.635132
   5.830078	 -10.316907
   5.839844	  -2.186594
   5.849609	   6.802434
   5.859375	  15.789435
   5.869141	  24.115525
   5.878906	  31.318196
   5.888672	  37.037191
   5.898438	  40.891601
   5.908203	  42.397760
   5.917969	  40.979983
   5.927734	  36.087930
   5.937500	  27.389187
   5.947266	  14.970142
   5.957031	  -0.534322
   5.966797	 -17.945837
   5.976562	 -35.705552
   5.986328	 -52.166682
   5.996094	 -65.942278
   6.005859	 -76.209469
   6.015625	 -82.877819
   6.025391	 -86.565864
   6.035156	 -88.385744
   6.044922	 -89.593940
   6.054688	 -91.208100
   6.064453	 -93.702098
   6.074219	 -96.869327
   6.083984	 -99.894105
   6.093750	-101.608015
   6.103516	-100.851560
   6.113281	 -96.829114
   6.123047	 -89.347243
   6.132812	 -78.862631
   6.142578	 -66.325305
   6.152344	 -52.867403
   6.162109	 -39.437531
   6.171875	 -26.500088
   6.181641	 -13.901522
   6.191406	  -0.955720
   6.201172	  13.266677
   6.210938	  29.525361
   6.220703	  47.997377
   6.230469	  67.995247
   6.240234	  87.916387
   6.250000	 105.462155
   6.259766	 118.089386
   6.269531	 123.589165
   6.279297	 120.646499
   6.289062	 109.232433
   6.298828	  90.718528
   6.308594	  67.672591
   6.318359	  43.375887
   6.328125	  21.173956
   6.337891	   3.816333
   6.347656	  -7.056739
   6.357422	 -11.160703
   6.367188	  -9.495325
   6.376953	  -3.986018
   6.386719	   3.059796
   6.396484	   9.535317
   6.406250	  14.005982
   6.416016	  15.955887
   6.425781	  15.760248
   6.435547	  14.411670
   6.445312	  13.094592
   6.455078	  12.740603
   6.464844	  13.697364
   6.474609	  15.606060
   6.484375	  17.518153
   6.494141	  18.210205
   6.503906	  16.596685
   6.513672	  12.111982
   6.523438	   4.942495
   6.533203	  -3.965106
   6.542969	 -13.125985
   6.552734	 -20.906579
   6.562500	 -25.967225
   6.572266	 -27.626694
   6.582031	 -26.039506
   6.591797	 -22.132063
   6.601562	 -17.315483
   6.611328	 -13.060052
   6.621094	 -10.458019
   6.630859	  -9.905305
   6.640625	 -10.996983
   6.650391	 -12.666799
   6.660156	 -13.527057
   6.669922	 -12.304546
   6.679688	  -8.239490
   6.689453	  -1.326867
   6.699219	   7.671011
   6.708984	  17.440154
   6.718750	  26.487256
   6.728516	  33.548914
   6.738281	  37.907876
   6.748047	  39.518115
   6.757812	  38.903887
   6.767578	  36.872977
   6.777344	  34.146721
   6.787109	  31.038724
   6.796875	  27.300126
   6.806641	  22.195442
   6.816406	  14.795914
   6.826172	   4.401409
   6.835938	  -9.048027
   6.845703	 -24.716647
   6.855469	 -40.878960
   6.865234	 -55.216202
   6.875000	 -65.342411
   6.884766	 -69.423275
   6.894531	 -66.712925
   6.904297	 -57.846847
   6.914062	 -44.790622
   6.923828	 -30.437431
   6.933594	 -17.945402
   6.943359	  -9.980477
   6.953125	  -8.059922
   6.962891	 -12.167337
   6.972656	 -20.739172
   6.982422	 -31.025589
   6.992188	 -39.732468
   7.001953	 -43.782617
   7.011719	 -41.010466
   7.021484	 -30.629946
   7.031250	 -13.380082
   7.041016	   8.662849
   7.050781	  32.537971
   7.060547	  54.993994
   7.070312	  73.083863
   7.080078	  84.638011
   7.089844	  88.540391
   7.099609	  84.787896
   7.109375	  74.363623
   7.119141	  58.985564
   7.128906	  40.800071
   7.138672	  22.077700
   7.148438	   4.946829
   7.158203	  -8.821369
   7.167969	 -17.976375
   7.177734	 -21.901898
   7.187500	 -20.674847
   7.197266	 -15.056708
   7.207031	  -6.401925
   7.216797	   3.524170
   7.226562	  12.807046
   7.236328	  19.690207
   7.246094	  22.873928
   7.255859	  21.743384
   7.265625	  16.472737
   7.275391	   7.976908
   7.285156	  -2.281945
   7.294922	 -12.590709
   7.304688	 -21.316827
   7.314453	 -27.200578
   7.324219	 -29.546831
   7.333984	 -28.283969
   7.343750	 -23.893361
   7.353516	 -17.244232
   7.363281	  -9.387082
   7.373047	  -1.359651
   7.382812	   5.955427
   7.392578	  11.905947
   7.402344	  16.086633
   7.412109	  18.320064
   7.421875	  18.627596
   7.431641	  17.206310
   7.441406	  14.412310
   7.451172	  10.736851
   7.460938	   6.756699
   7.470703	   3.047208
   7.480469	   0.063701
   7.490234	  -1.982787
   7.500000	  -3.214504
   7.509766	  -4.098470
   7.519531	  -5.353784
   7.529297	  -7.757813
   7.539062	 -11.889708
   7.548828	 -17.878877
   7.558594	 -25.237802
   7.568359	 -32.846297
   7.578125	 -39.118745
   7.587891	 -42.335436
   7.597656	 -41.068130
   7.607422	 -34.593847
   7.617188	 -23.182177
   7.626953	  -8.164871
   7.636719	   8.252220
   7.646484	  23.408508
   7.656250	  34.749754
   7.666016	  40.398814
   7.675781	  39.594977
   7.685547	  32.888762
   7.695312	  22.037440
   7.705078	   9.620260
   7.714844	  -1.537819
   7.724609	  -8.997481
   7.734375	 -11.241957
   7.744141	  -7.994315
   7.753906	  -0.244946
   7.763672	  10.009894
   7.773438	  20.248852
   7.783203	  28.006510
   7.792969	  31.416998
   7.802734	  29.597793
   7.812500	  22.795178
   7.822266	  12.272836
   7.832031	  -0.014190
   7.841797	 -11.871243
   7.851562	 -21.330247
   7.861328	 -27.024762
   7.871094	 -28.398572
   7.880859	 -25.718225
   7.890625	 -19.908810
   7.900391	 -12.272202
   7.910156	  -4.168895
   7.919922	   3.255676
   7.929688	   9.240032
   7.939453	  13.444724
   7.949219	  15.871746
   7.958984	  16.709219
   7.968750	  16.162478
   7.978516	  14.331263
   7.988281	  11.173706
   7.998047	   6.567059
   8.007812	   0.441734
   8.017578	  -7.061048
   8.027344	 -15.468735
   8.037109	 -23.947094
   8.046875	 -31.387948
   8.056641	 -36.607412
   8.066406	 -38.611051
   8.076172	 -36.856809
   8.085938	 -31.439756
   8.095703	 -23.137775
   8.105469	 -13.291438
   8.115234	  -3.535574
   8.125000	   4.557662
   8.134766	   9.836508
   8.144531	  11.835483
   8.154297	  10.877514
   8.164062	   7.981678
   8.173828	   4.597079
   8.183594	   2.230010
   8.193359	   2.060664
   8.203125	   4.648638
   8.212891	   9.802377
   8.222656	  16.643111
   8.232422	  23.841473
   8.242188	  29.959524
   8.251953	  33.805080
   8.261719	  34.705862
   8.271484	  32.636986
   8.281250	  28.178497
   8.291016	  22.326805
   8.300781	  16.221451
   8.310547	  10.866294
   8.320312	   6.918196
   8.330078	   4.590073
   8.339844	   3.678140
   8.349609	   3.687341
   8.359375	   4.004993
   8.369141	   4.066844
   8.378906	   3.471798
   8.388672	   2.025674
   8.398438	  -0.278941
   8.408203	  -3.319833
   8.417969	  -6.905586
   8.427734	 -10.812968
   8.437500	 -14.792223
   8.447266	 -18.550677
   8.457031	 -21.738468
   8.466797	 -23.961903
   8.476562	 -24.839054
   8.486328	 -24.092741
   8.496094	 -21.655826
   8.505859	 -17.751012
   8.515625	 -12.908125
   8.525391	  -7.897246
   8.535156	  -3.581855
   8.544922	  -0.723838
   8.554688	   0.207720
   8.564453	  -0.832560
   8.574219	  -3.438861
   8.583984	  -6.844889
   8.593750	 -10.112887
   8.603516	 -12.370856
   8.613281	 -13.032029
   8.623047	 -11.934681
   8.632812	  -9.363291
   8.642578	  -5.947181
   8.652344	  -2.468938
   8.662109	   0.358957
   8.671875	   2.082996
   8.681641	   2.609305
   8.691406	   2.191171
   8.701172	   1.314084
   8.710938	   0.519963
   8.720703	   0.229034
   8.730469	   0.615480
   8.740234	   1.572958
   8.750000	   2.775356
   8.759766	   3.807095
   8.769531	   4.315893
   8.779297	   4.135821
   8.789062	   3.340686
   8.798828	   2.212647
   8.808594	   1.139812
   8.818359	   0.479745
   8.828125	   0.435857
   8.837891	   0.987768
   8.847656	   1.897398
   8.857422	   2.786717
   8.867188	   3.259570
   8.876953	   3.026411
   8.886719	   1.991427
   8.896484	   0.275426
   8.906250	  -1.829870
   8.916016	  -3.957854
   8.925781	  -5.779360
   8.935547	  -7.093567
   8.945312	  -7.868771
   8.955078	  -8.222438
   8.964844	  -8.350982
   8.974609	  -8.436257
   8.984375	  -8.562729
   8.994141	  -8.674567
   9.003906	  -8.587507
   9.013672	  -8.051501
   9.023438	  -6.843019
   9.033203	  -4.856184
   9.042969	  -2.162396
   9.052734	   0.981715
   9.062500	   4.181900
   9.072266	   6.996350
   9.082031	   9.042652
   9.091797	  10.091686
   9.101562	  10.123038
   9.111328	   9.327996
   9.121094	   8.060773
   9.130859	   6.751968
   9.140625	   5.806771
   9.150391	   5.512415
   9.160156	   5.975116
   9.169922	   7.098308
   9.179688	   8.604042
   9.189453	  10.090683
   9.199219	  11.113956
   9.208984	  11.275746
   9.218750	  10.305152
   9.228516	   8.118457
   9.238281	   4.848047
   9.248047	   0.834527
   9.257812	  -3.418781
   9.267578	  -7.323993
   9.277344	 -10.308459
   9.287109	 -11.919667
   9.296875	 -11.915394
   9.306641	 -10.319471
   9.316406	  -7.428477
   9.326172	  -3.763935
   9.335938	   0.023413
   9.345703	   3.278816
   9.355469	   5.471435
   9.365234	   6.296080
   9.375000	   5.725157
   9.384766	   3.999012
   9.394531	   1.558179
   9.404297	  -1.064366
   9.414062	  -3.363028
   9.423828	  -4.961593
   9.433594	  -5.673747
   9.443359	  -5.511144
   9.453125	  -4.643206
   9.462891	  -3.325882
   9.472656	  -1.823670
   9.482422	  -0.348347
   9.492188	   0.970192
   9.501953	   2.077887
   9.511719	   2.964508
   9.521484	   3.623064
   9.531250	   4.019527
   9.541016	   4.086260
   9.550781	   3.742346
   9.560547	   2.932786
   9.570312	   1.670435
   9.580078	   0.062427
   9.589844	  -1.692401
   9.599609	  -3.338635
   9.609375	  -4.623764
   9.619141	  -5.364446
   9.628906	  -5.498283
   9.638672	  -5.103247
   9.648438	  -4.376499
   9.658203	  -3.577059
   9.667969	  -2.948451
   9.677734	  -2.644334
   9.687500	  -2.679843
   9.697266	  -2.923994
   9.707031	  -3.136362
   9.716797	  -3.038003
   9.726562	  -2.396410
   9.736328	  -1.100206
   9.746094	   0.797691
   9.755859	   3.080542
   9.765625	   5.411668
   9.775391	   7.409710
   9.785156	   8.735246
   9.794922	   9.166663
   9.804688	   8.647081
   9.814453	   7.292572
   9.824219	   5.362065
   9.833984	   3.198456
   9.843750	   1.156198
   9.853516	  -0.467958
   9.863281	  -1.487022
   9.873047	  -1.849964
   9.882812	  -1.639698
   9.892578	  -1.046143
   9.902344	  -0.321650
   9.912109	   0.272005
   9.921875	   0.515615
   9.931641	   0.275129
   9.941406	  -0.471793
   9.951172	  -1.629542
   9.960938	  -3.000098
   9.970703	  -4.318455
   9.980469	  -5.302495
   9.990234	  -5.708533
  10.000000	  -5.381686
  10.009766	  -4.290131
  10.019531	  -2.534859
  10.029297	  -0.331523
  10.039062	   2.032571
  10.048828	   4.256942
  10.058594	   6.088104
  10.068359	   7.366786
  10.078125	   8.050603
  10.087891	   8.207089
  10.097656	   7.980131
  10.107422	   7.540249
  10.117188	   7.033653
  10.126953	   6.545039
  10.136719	   6.084611
  10.146484	   5.602156
  10.156250	   5.022411
  10.166016	   4.289265
  10.175781	   3.403465
  10.185547	   2.440604
  10.195312	   1.542398
  10.205078	   0.882844
  10.214844	   0.619014
  10.224609	   0.841412
  10.234375	   1.539415
  10.244141	   2.593144
  10.253906	   3.795417
  10.263672	   4.898616
  10.273438	   5.674039
  10.283203	   5.967679
  10.292969	   5.737420
  10.302734	   5.061921
  10.312500	   4.119293
  10.322266	   3.141758
  10.332031	   2.358499
  10.341797	   1.941372
  10.351562	   1.966599
  10.361328	   2.400684
  10.371094	   3.112288
  10.380859	   3.905389
  10.390625	   4.564502
  10.400391	   4.900880
  10.410156	   4.789573
  10.419922	   4.190422
  10.429688	   3.150273
  10.439453	   1.787908
  10.449219	   0.266418
  10.458984	  -1.240420
  10.468750	  -2.580884
  10.478516	  -3.651150
  10.488281	  -4.409969
  10.498047	  -4.880139
  10.507812	  -5.137120
  10.517578	  -5.287424
  10.527344	  -5.441329
  10.537109	  -5.685647
  10.546875	  -6.062457
  10.556641	  -6.558631
  10.566406	  -7.108715
  10.576172	  -7.610645
  10.585938	  -7.950554
  10.595703	  -8.030426
  10.605469	  -7.791447
  10.615234	  -7.226848
  10.625000	  -6.380909
  10.634766	  -5.334716
  10.644531	  -4.183139
  10.654297	  -3.010178
  10.664062	  -1.870261
  10.673828	  -0.781184
  10.683594	   0.269447
  10.693359	   1.306921
  10.703125	   2.347640
  10.712891	   3.380907
  10.722656	   4.361304
  10.732422	   5.215206
  10.742188	   5.860096
  10.751953	   6.230750
  10.761719	   6.303522
  10.771484	   6.109997
  10.781250	   5.734311
  10.791016	   5.293511
  10.800781	   4.905931
  10.810547	   4.656793
  10.820312	   4.571692
  10.830078	   4.606704
  10.839844	   4.659092
  10.849609	   4.596393
  10.859375	   4.295978
  10.869141	   3.683816
  10.878906	   2.761131
  10.888672	   1.611060
  10.898438	   0.383149
  10.908203	  -0.740105
  10.917969	  -1.585455
  10.927734	  -2.028366
  10.937500	  -2.019440
  10.947266	  -1.591557
